Line-ID,Machine-ID,Start-Time,End-Time,Category Defect,Sub-Category Defect,Down-Time
Line-8,Machine-1,03-12-2024 08:00,03-12-2024 08:35,Electrical Defect,Lubrication,34.99833298
Line-8,Machine-1,03-12-2024 11:10,03-12-2024 11:56,Electrical Defect,Lubrication,46.00273514
Line-8,Machine-1,07-01-2025 06:00,07-01-2025 06:24,Electrical Defect,Pneumatic,23.99399948
Line-8,Machine-1,15-01-2025 07:20,15-01-2025 07:38,Electrical Defect,Pneumatic,17.99398422
Line-8,Machine-1,17-01-2025 06:00,17-01-2025 06:24,Electrical Defect,Relay Contactor,24.92169952
Line-8,Machine-1,17-01-2025 06:25,17-01-2025 08:05,Electrical Defect,Pneumatic,99.99213409
Line-8,Machine-1,17-01-2025 13:00,17-01-2025 13:10,Electrical Defect,Pneumatic,10.0092001
Line-8,Machine-1,17-01-2025 13:50,17-01-2025 14:30,Electrical Defect,Sensor Setting,40.00066757
Line-8,Machine-1,01-02-2025 11:30,01-02-2025 12:10,Electrical Defect,Relay Contactor,39.99964905
Line-8,Machine-1,03-02-2025 10:15,03-02-2025 10:56,Electrical Defect,Overload Current,41.00973511
Line-8,Machine-1,16-02-2025 11:30,16-02-2025 12:10,Electrical Defect,Relay Contactor,40.00513458
Line-8,Machine-1,17-02-2025 08:00,17-02-2025 08:28,Electrical Defect,Relay Contactor,27.98918343
Line-8,Machine-1,17-02-2025 09:00,17-02-2025 09:42,Electrical Defect,Relay Contactor,42.00238419
Line-8,Machine-1,17-02-2025 10:00,17-02-2025 10:24,Electrical Defect,Relay Contactor,23.99011612
Line-8,Machine-1,28-02-2025 09:00,28-02-2025 09:16,Electrical Defect,Sensor Setting,16.00076675
Line-8,Machine-1,19-11-2024 18:30,19-11-2024 20:48,Electrical Defect,Relay Contactor,138.0097351
Line-8,Machine-1,13-12-2024 14:30,13-12-2024 16:03,Electrical Defect,Robot,93
Line-8,Machine-1,25-12-2024 15:20,25-12-2024 15:30,Electrical Defect,Wheel spindle,10.00626659
Line-8,Machine-1,27-12-2024 20:00,27-12-2024 20:30,Electrical Defect,Wheel Balancer,30
Line-8,Machine-1,17-01-2025 14:30,17-01-2025 15:41,Electrical Defect,Loose connection,70.99973297
Line-8,Machine-1,16-02-2025 19:00,16-02-2025 19:29,Electrical Defect,Wheel spindle,28.98763275
Line-8,Machine-1,19-02-2025 22:00,19-02-2025 22:24,Electrical Defect,Work head unit,24
Line-8,Machine-1,17-11-2024 02:10,17-11-2024 02:40,Electrical Defect,Wheel spindle,30.17505074
Line-8,Machine-1,07-12-2024 01:00,07-12-2024 01:45,Electrical Defect,Sensor Setting,45.00735092
Line-8,Machine-1,17-02-2025 01:20,17-02-2025 01:48,Electrical Defect,Wheel spindle,28.1261158
Line-8,Machine-2,14-11-2024 06:00,14-11-2024 06:10,Electrical Defect,Robot,10.00331688
Line-8,Machine-2,15-11-2024 09:00,15-11-2024 09:27,Electrical Defect,Pneumatic,26.99146652
Line-8,Machine-2,06-12-2024 06:00,06-12-2024 06:57,Electrical Defect,Pneumatic,57.00669861
Line-8,Machine-2,11-12-2024 11:40,11-12-2024 13:10,Electrical Defect,Sensor Setting,90.01502991
Line-8,Machine-2,31-12-2024 13:30,31-12-2024 14:00,Electrical Defect,Relay Contactor,29.99584961
Line-8,Machine-2,07-01-2025 08:00,07-01-2025 08:12,Electrical Defect,Sensor Setting,12.0024004
Line-8,Machine-2,17-01-2025 12:24,17-01-2025 12:30,Electrical Defect,Pneumatic,5.994533539
Line-8,Machine-2,18-01-2025 08:37,18-01-2025 09:07,Electrical Defect,Pneumatic,29.99880028
Line-8,Machine-2,21-01-2025 08:00,21-01-2025 08:17,Electrical Defect,Relay Contactor,17.00853348
Line-8,Machine-2,01-02-2025 06:00,01-02-2025 06:21,Electrical Defect,Hydraulic system,21.0024662
Line-8,Machine-2,07-02-2025 08:00,07-02-2025 08:10,Electrical Defect,Relay Contactor,9.993332863
Line-8,Machine-2,07-02-2025 09:20,07-02-2025 09:35,Electrical Defect,Relay Contactor,15.00786686
Line-8,Machine-2,07-02-2025 09:35,07-02-2025 09:50,Electrical Defect,Pneumatic,15.00669956
Line-8,Machine-2,07-02-2025 08:57,07-02-2025 09:07,Electrical Defect,Sensor Setting,10.01223373
Line-8,Machine-2,21-02-2025 07:00,21-02-2025 07:15,Electrical Defect,Robot,15.01210022
Line-8,Machine-2,22-02-2025 07:50,22-02-2025 08:10,Electrical Defect,Sensor Setting,20.00391579
Line-8,Machine-2,27-02-2025 09:42,27-02-2025 10:10,Electrical Defect,Relay Contactor,28.00045013
Line-8,Machine-2,07-03-2025 11:55,07-03-2025 12:47,Electrical Defect,Sensor Setting,51.99951553
Line-8,Machine-2,21-03-2025 08:45,21-03-2025 08:57,Electrical Defect,Hydraulic system,12.00265026
Line-8,Machine-2,07-04-2025 09:00,07-04-2025 11:00,Electrical Defect,Overload Current,120
Line-8,Machine-2,11-04-2025 07:59,11-04-2025 08:12,Electrical Defect,Panel A.C.,12.99065018
Line-8,Machine-2,24-11-2024 19:00,24-11-2024 21:00,Electrical Defect,Relay Contactor,120
Line-8,Machine-2,07-12-2024 21:00,07-12-2024 21:20,Electrical Defect,Robot,20.00016594
Line-8,Machine-2,14-12-2024 22:30,14-12-2024 22:39,Electrical Defect,Sensor Setting,9.903450012
Line-8,Machine-2,23-01-2025 19:20,23-01-2025 19:55,Electrical Defect,Sensor Setting,35.00333405
Line-8,Machine-2,31-01-2025 21:30,31-01-2025 22:00,Electrical Defect,Robot,30
Line-8,Machine-2,07-02-2025 18:35,07-02-2025 19:00,Electrical Defect,Relay Contactor,25.00891685
Line-8,Machine-2,21-02-2025 19:07,21-02-2025 19:30,Electrical Defect,Relay Contactor,22.99640083
Line-8,Machine-2,21-02-2025 22:25,21-02-2025 22:45,Electrical Defect,Pneumatic,19.99735069
Line-8,Machine-2,02-03-2025 18:30,02-03-2025 18:41,Electrical Defect,Relay Contactor,10.99664974
Line-8,Machine-2,16-03-2025 15:14,16-03-2025 15:30,Electrical Defect,Pneumatic,15.99468327
Line-8,Machine-2,28-11-2024 01:45,28-11-2024 02:05,Electrical Defect,Pneumatic,19.99891663
Line-8,Machine-2,06-12-2024 04:04,06-12-2024 04:30,Electrical Defect,Slide Lock,25.98934937
Line-8,Machine-2,06-12-2024 04:30,06-12-2024 06:00,Electrical Defect,Slide Lock,90.00346375
Line-8,Machine-2,08-01-2025 01:00,08-01-2025 01:40,Electrical Defect,Robot,39.9970665
Line-8,Machine-2,18-01-2025 23:29,19-01-2025 00:00,Electrical Defect,Slide Guards,31.00079918
Line-8,Machine-2,24-01-2025 00:40,24-01-2025 00:50,Electrical Defect,Pneumatic,9.99489975
Line-8,Machine-2,30-01-2025 23:20,30-01-2025 23:42,Electrical Defect,Relay Contactor,21.99243355
Line-8,Machine-2,01-02-2025 04:01,01-02-2025 04:50,Electrical Defect,Relay Contactor,49
Line-8,Machine-2,06-03-2025 23:32,07-03-2025 00:55,Electrical Defect,Robot,82.99030304
Line-8,Machine-2,09-03-2025 23:58,10-03-2025 00:06,Electrical Defect,Pneumatic,7.997049809
Line-8,Machine-2,10-03-2025 04:29,10-03-2025 04:35,Electrical Defect,Pneumatic,6.001983166
Line-8,Machine-2,17-03-2025 23:00,17-03-2025 23:38,Electrical Defect,Dresser unit,38.00718307
Line-8,Machine-2,18-03-2025 00:00,18-03-2025 00:23,Electrical Defect,Dresser unit,22.99740028
Line-8,Machine-2,26-03-2025 00:30,26-03-2025 01:00,Electrical Defect,Solonoid Valve,30.00115013
Line-8,Machine-2,08-04-2025 01:00,08-04-2025 01:19,Electrical Defect,Robot,19.00893402
Line-8,Machine-2,10-04-2025 23:00,10-04-2025 23:19,Electrical Defect,Robot,19.00374985
Line-8,Machine-3,11-11-2024 14:08,11-11-2024 14:30,Electrical Defect,Servo drive,22.03123283
Line-8,Machine-3,14-11-2024 07:00,14-11-2024 07:12,Electrical Defect,Robot,12.00746632
Line-8,Machine-3,14-11-2024 07:20,14-11-2024 07:30,Electrical Defect,Robot,10.01099968
Line-8,Machine-3,30-11-2024 08:00,30-11-2024 08:20,Electrical Defect,Sensor Setting,19.99819946
Line-8,Machine-3,01-12-2024 06:30,01-12-2024 06:50,Electrical Defect,Sensor Setting,20.01543427
